home_team,away_team,game_id,season,date,pts_H,pts_A,winner,playoff,fg_pct_A,fg3_pct_A,ft_pct_A,reb_A,tot_ast_A,tot_tov_A,tot_stl_A,tot_blk_A,ts_pct_A,w_pct_A,w_pct_last_5_games_A,fg_pct_H,fg3_pct_H,ft_pct_H,reb_H,tot_ast_H,tot_tov_H,tot_stl_H,tot_blk_H,ts_pct_H,w_pct_H,w_pct_last_5_games_H,off_rating_A,def_rating_A,off_rating_H,def_rating_H,lineup_efficiency_A,lineup_efficiency_H,referee_name,referee_id
GSW,OKC,0022201187,2022-23,2023-04-04,136,125,home,False,0.46580027359781123,0.35655737704918034,0.8098553829673273,3442,1920,985,655,336,0.570560340798969,0.481,0.4,0.47613700168444695,0.3814553990610329,0.7930599369085174,3498,2338,1235,563,304,0.5971437338583886,0.519,0.8,114.26488456865127,113.61536591295891,114.73365617433413,113.88619854721549,15.91148786611187,15.37164077054922,Courtney Kirkland,2004
SAC,GSW,0022201211,2022-23,2023-04-07,97,119,away,False,0.4763817703283003,0.38205499276411,0.7919504643962848,3552,2363,1248,569,310,0.5975711259079903,0.525,0.6,0.49624060150375937,0.37139019476158497,0.7932739861523245,3407,2189,1049,557,266,0.6113106964885849,0.6,0.6,114.77096041143405,113.68421052631578,118.86746695768157,116.05237633365664,15.44300767501955,6.808364331480365,Brian Forte,101283
POR,GSW,0022201230,2022-23,2023-04-09,101,157,away,False,0.47690831848704945,0.38269836723002004,0.7931665649786455,3599,2399,1272,575,317,0.5983916509523381,0.531,0.6,0.47480451781059946,0.3663400979706088,0.7976965448172258,3295,1956,1106,548,373,0.5907757287390104,0.407,0.2,115.12039660056656,113.3734655335222,114.01250459727841,117.9757382673692,15.465727149869133,10.1619674859191,James Williams,202058
SAC,GSW,0042200161,2022-23,2023-04-15,126,123,home,True,0.4777777777777778,0.32,0.7777777777777778,41,31,15,7,7,0.6036513545347468,0.0,0.0,0.4489795918367347,0.375,0.8125,50,18,13,10,3,0.5620985010706638,1.0,0.0,116.03773584905662,120.0,120.0,116.03773584905662,15.46181866213242,16.674761361445995,Ed Malloy,2530
SAC,GSW,0042200162,2022-23,2023-04-17,114,106,home,True,0.4777777777777778,0.32,0.7777777777777778,41,31,15,7,7,0.6036513545347468,0.0,0.0,0.4489795918367347,0.375,0.8125,50,18,13,10,3,0.5620985010706638,1.0,0.0,109.56937799043062,115.38461538461537,115.38461538461537,109.56937799043062,14.231804809404617,15.588937533249151,Courtney Kirkland,2004
GSW,SAC,0042200163,2022-23,2023-04-20,114,97,home,True,0.45263157894736844,0.3,0.7704918032786885,91,40,27,21,8,0.5534034311012728,1.0,0.5,0.47674418604651164,0.32222222222222224,0.8,82,49,35,13,9,0.5969760166840459,0.0,0.0,108.36012861736334,110.28938906752413,110.28938906752413,108.36012861736334,16.575108154782946,14.872089841586353,Sean Corbin,1151
GSW,SAC,0042200164,2022-23,2023-04-23,126,125,home,True,0.42907801418439717,0.27350427350427353,0.75,144,61,42,27,11,0.5282794080762478,0.667,0.6666666666666666,0.4485294117647059,0.32142857142857145,0.7941176470588235,141,80,46,25,14,0.5680312665606783,0.333,0.0,110.79136690647482,113.01204819277109,113.01204819277109,110.79136690647482,16.561306768003853,16.162897874177514,Pat Fraher,2003
SAC,GSW,0042200165,2022-23,2023-04-26,116,123,away,True,0.4613259668508287,0.3390804597701149,0.8260869565217391,185,111,57,33,20,0.5826376465911349,0.5,0.25,0.4401041666666667,0.3026315789473684,0.7647058823529411,188,86,52,32,14,0.5386121992165641,0.5,0.5,113.62763915547025,110.51625239005736,110.51625239005736,113.62763915547025,14.992702870034696,16.538302684469013,Tony Brothers,1146
GSW,SAC,0042200166,2022-23,2023-04-28,99,118,away,True,0.4451476793248945,0.3010752688172043,0.78125,232,108,71,41,17,0.5449539900437471,0.4,0.4,0.4737991266375546,0.330188679245283,0.7927927927927928,228,144,71,44,27,0.5840107331702312,0.6,0.4,110.47619047619048,109.6825396825397,109.6825396825397,110.47619047619048,10.268757297830463,16.143386101770197,Bill Kennedy,1662
SAC,GSW,0042200167,2022-23,2023-04-30,100,120,away,True,0.4577205882352941,0.32786885245901637,0.773972602739726,270,164,89,58,33,0.5680323556490858,0.5,0.6,0.43804537521815007,0.31601731601731603,0.7908496732026143,285,133,90,51,25,0.5434782608695652,0.5,0.4,111.55433287482805,109.34065934065933,109.34065934065933,111.55433287482805,16.139963274101564,14.299596998144654,Scott Foster,1162
